ADAM AIRCRAFT (USA);A-500, CarbonAero ;A500 ;2P/S ;NULL;NULL;II ;NULL
MAULE AIRCRAFT CORP. (USA);M-4 Bee Dee, Jetasen, Rocket, Astro Rocket, Strata Rocket ;M4 ;1P/S ;1,000 ;1,000 ;I ;1
MAULE AIRCRAFT CORP. (USA);M-5, Strata Rocket, Lunar Rocket, Patroller ;M5 ;1P/S ;1,000 ;1,000 ;I ;1
MAULE AIRCRAFT CORP. (USA);M-6 Super-Rocket ;M6 ;1P/S ;1,500 ;1,000 ;I ;1
MAULE AIRCRAFT CORP. (USA);M-7-235/260, MT-7-235/260, MX-7-160/180/235, MXT-7-160/180 Super Rocket, Star Rocket, Comet, Star Craft, Orion, Sportplane ;M7 ;1P/S ;825;NULL;I ;1
MAULE AIRCRAFT CORP. (USA);M-7-420, MT-7-240, MX-7-420, MXT-7-420 Star Craft ;M7T ;1T/S ;4,500 ;NULL;I ;1
MAULE AIRCRAFT CORP. (USA);M-8 ;M8 ;1P/S ;NULL;NULL;I ;NULL
MCDONNELL-DOUGLAS CORP. (USA);Skywarrior ;A3* ;2J/L ;5,000 ;6,000 ;III ;NULL
MCDONNELL-DOUGLAS CORP. (USA);A-4, OA-4, TA-4 Skyhawk ;A4* ;1J/S+ ;5,000 ;5,000 ;III ;NULL
MCDONNELL-DOUGLAS CORP. (USA);Invader ;B26 ;2P/L ;1,000 ;1,000 ;III ;NULL
MCDONNELL-DOUGLAS CORP. (USA);YC-15 ;C15 ;4J/L ;NULL;NULL;III ;NULL
MCDONNELL-DOUGLAS CORP. (USA);C-17 Globemaster 3 ;C17 ;4J/H ;NULL;NULL;III ;NULL
MCDONNELL-DOUGLAS CORP. (USA);DC-10 (KC-10 Extender, KDC-10, MD-10) ;DC10 ;3J/H ;2,400 ;2,000 ;III ;9
MCDONNELL-DOUGLAS CORP. (USA);Skytrain (C-47, C-53, C-117 A/B/C, R4D 1 to 7) ;DC3 ;2P/S+ ;1,200 ;1,200 ;III ;NULL
MCDONNELL-DOUGLAS CORP. (USA);Super DC-3 (C-117D, R4D 8) ;DC3S ;2P/S+ ;1,330 ;1,330 ;III ;8
MCDONNELL-DOUGLAS CORP. (USA);Skymaster ;DC4 ;4P/L ;2,300 ;2,300 ;III ;7
MCDONNELL-DOUGLAS CORP. (USA);DC-6/B Liftmaster ;DC6 ;4P/L ;1,000 ;1,000 ;III ;7
MCDONNELL-DOUGLAS CORP. (USA);DC-7/B/C Seven Seas ;DC7 ;4P/L ;1,250 ;1,250 ;III ;8
MCDONNELL-DOUGLAS CORP. (USA);DC-8-50, Jet Trader ;DC85 ;4J/H ;4,000 ;4,000 ;III ;9
MCDONNELL-DOUGLAS CORP. (USA);DC-8-60 ;DC86 ;4J/H ;4,000 ;4,000 ;III ;NULL
MCDONNELL-DOUGLAS CORP. (USA);DC-8-70 ;DC87 ;4J/H ;5,000 ;4,000 ;III ;9
MCDONNELL-DOUGLAS CORP. (USA);DC-9-10 ;DC91 ;2J/L ;3,000 ;3,000 ;III ;8
MCDONNELL-DOUGLAS CORP. (USA);DC-9-20 ;DC92 ;2J/L ;3,000 ;3,000 ;III ;8
MCDONNELL-DOUGLAS CORP. (USA);DC-9-30 (C-9, VC-9, Nightingale, Skytrain 2) ;DC93 ;2J/L ;3,000 ;3,000 ;III ;8
MCDONNELL-DOUGLAS CORP. (USA);DC-9-40 ;DC94 ;2J/L ;3,000 ;3,000 ;III ;8
MCDONNELL-DOUGLAS CORP. (USA);DC-9-50 ;DC95 ;2J/L ;3,000 ;3,000 ;III ;8
MCDONNELL-DOUGLAS CORP. (USA);F-15 Eagle, Baz, Akef, Ra'am ;F15* ;2J/L ;8,000 ;5,000 ;III ;NULL
MCDONNELL-DOUGLAS CORP. (USA);FA-18, CF-18, CF-188, EF-18, C-15, CE-15, AF-18, ATF-18 Hornet, Super Hornet ;F18* ;2J/L ;8,000 ;6,000 ;III ;NULL
MCDONNELL-DOUGLAS CORP. (USA);F-4, RF-4, QF-4 Phantom 2/2000, Kurnass ;F4* ;2J/L ;8,000 ;6,000 ;III ;NULL
MCDONNELL-DOUGLAS CORP. (USA);MD-11 ;MD11 ;3J/H ;NULL;NULL;III ;9
MCDONNELL-DOUGLAS CORP. (USA);MD-81 ;MD81 ;2J/L ;3,500 ;3,000 ;III ;7
MCDONNELL-DOUGLAS CORP. (USA);MD-82 ;MD82 ;2J/L ;3,500 ;3,000 ;III ;7
MCDONNELL-DOUGLAS CORP. (USA);MD-83 ;MD83 ;2J/L ;3,500 ;3,000 ;III ;8
MCDONNELL-DOUGLAS CORP. (USA);MD-87 ;MD87 ;2J/L ;3,500 ;3,000 ;III ;7
MCDONNELL-DOUGLAS CORP. (USA);MD-88 ;MD88 ;2J/L ;3,500 ;3,000 ;III ;8
MCDONNELL-DOUGLAS CORP. (USA);MD-90 ;MD90 ;2J/L ;NULL;NULL;III ;8
MESSERSCHMITT (FRG);Bf-108 Taifun ;ME08 ;1P/S ;400;500;I ;1
MESSERSCHMITT (FRG);Bf-109 ;ME09 ;1P/S ;NULL;NULL;I ;NULL
MESSERSCHMITT (FRG);Me-262, Replica ;ME62 ;2J/S+ ;NULL;NULL;III ;NULL
MESSERSCHMITT-BOLKOW (FRG);223 Flamingo ;S223 ;1P/S ;NULL;NULL;I ;NULL
MESSERSCHMITT-BOLKOW (FRG);BO-209 Monsun ;B209 ;1P/S ;1,100 ;1,100 ;I ;4
MITSUBISHI AIRCRAFT INTERNATIONAL INC. (USA/Japan);A6M Zero ;ZERO ;1P/S ;NULL;NULL;I ;NULL
MITSUBISHI AIRCRAFT INTERNATIONAL INC. (USA/Japan);F-1 ;F1 ;2J/S+ ;NULL;NULL;III ;NULL
MITSUBISHI AIRCRAFT INTERNATIONAL INC. (USA/Japan);F-2 ;F2 ;1J/L ;8,000 ;5,000 ;III ;NULL
MITSUBISHI AIRCRAFT INTERNATIONAL INC. (USA/Japan);F-86 Sabre ;F86 ;IJ/L ;4,000 ;4,000 ;III ;NULL
MITSUBISHI AIRCRAFT INTERNATIONAL INC. (USA/Japan);MU-2, Marquise, Solitaire (LR-1) ;MU2 ;2T/S ;3,500 ;3,000 ;II ;6
MITSUBISHI AIRCRAFT INTERNATIONAL INC. (USA/Japan);MU-300 Diamond ;MU30 ;2J/S+ ;3,500 ;4,000 ;III ;7
MITSUBISHI AIRCRAFT INTERNATIONAL INC. (USA/Japan);T-2 ;MT2 ;2J/S+ ;NULL;NULL;III ;NULL
MOONEY AIRCRAFT CORP. (USA);A-2 Aircoupe ;ERCO ;1P/S ;630;630;I ;2
MOONEY AIRCRAFT CORP. (USA);M-10 Cadet ;M10 ;1P/S ;800;800;I ;1
MOONEY AIRCRAFT CORP. (USA);M-18 Mite, Wee Scotsman ;MITE ;1P/S ;750;750;I ;1
MOONEY AIRCRAFT CORP. (USA);M-20, M-20/A/B/C/D/E/F/G/J/L/R/S, Mark 21, Allegro, Eagle, Ranger, Master, Super 21, Chaparral, Executive, Statesman, Ovation, 201, 202, 205, 220, ATS, MSE, PFM (nonturbocharged engine) ;M20P ;1P/S ;1,000 ;1,000 ;I ;4
MOONEY AIRCRAFT CORP. (USA);M-20K/M, Encore, Bravo, 231, 252, TLS, TSE (turbocharged engine) ;M20T ;1P/S ;1,500 ;1,200 ;I ;6
MOONEY AIRCRAFT CORP. (USA);M-22, Mustang ;M22 ;1P/S ;1,300 ;1,300 ;I ;3
MUDRY (France) ;CAP-10 ;CP10 ;1P/S ;1,500 ;2,000 ;I ;4
MUDRY (France) ;CAP-20 ;CP20 ;1P/S ;1,500 ;2,000 ;I ;4
MUDRY (France) ;CAP-21 ;CP21 ;1P/S ;NULL;NULL;I ;NULL
MUDRY (France) ;CAP-230/231/232 ;CP23 ;1P/S ;NULL;NULL;I ;NULL
MUDRY (France) ;D-140 Mousquetaire ;D140 ;1P/S ;NULL;NULL;I ;NULL
NAMC (Japan);YS-11 ;YS11 ;2T/L ;1,500 ;1,500 ;III ;6
NAVION (USA);Rangemaster ;RANG ;1P/S ;1,250 ;1,500 ;I ;1
NOORDYUN AVIATION LTD. (Canada);Norseman Mk 4/5/6 ;NORS ;1P/S ;700;1,000 ;I ;2
NORD (France);Transall C-160 ;C160 ;2T/L ;2,000 ;2,000 ;III ;NULL
NORD (France);260 Super Broussard ;N260 ;2T/S+ ;2,500 ;2,000 ;III ;NULL
NORD (France);262, Fr_gate, Mohawk 298 ;N262 ;2T/S+ ;2,500 ;2,000 ;III ;NULL
NORD (France);1000, 1001, 1002 Pingouin ;ME08 ;1P/S ;400;500;III ;NULL
NORD (France);1101, 1102, Noralpha, Ramier ;N110 ;1P/S ;NULL;NULL;I ;NULL
NORD (France);1200 to 1204 Norecrin ;N120 ;1P/S ;NULL;NULL;I ;NULL
NORD (France);2501 to 2508 Noratlas ;NORA ;2P/L ;1,500 ;1,500 ;III ;NULL
NORD (France);3202;N320 ;1P/S ;NULL;NULL;I ;NULL
NORD (France);3400;N340 ;1P/S ;NULL;NULL;I ;NULL
NORD (France);SV-4 ;SV4 ;1P/S ;NULL;NULL;I ;NULL
NORTHROP CORP. (USA);B-2 Spirit ;B2 ;4J/H ;NULL;NULL;III ;NULL
NORTHROP CORP. (USA);C-125 Raider ;C125 ;3P/L ;NULL;NULL;III ;NULL
NORTHROP CORP. (USA);E-2 Hawkeye ;E2 ;2T/L ;2,690 ;3,000 ;III ;NULL
NORTHROP CORP. (USA);F-5, RF-5 Freedom Fighter, Tiger 2, Tigereye (N-156C/F) ;F5* ;2J/S+ ;8,000 ;5,000 ;III ;NULL
NORTHROP CORP. (USA);P-61 Black Widow ;P61 ;2P/S+ ;NULL;NULL;III ;NULL
NORTHROP CORP. (USA);T-38, AT-38 Talon (N-156T) ;T38* ;2J/S+ ;8,000 ;5,000 ;III ;NULL
PARTENAVIA (Italy);AP-68TP-300 Spartacus ;P68T ;2T/S ;1,500 ;1,500 ;II ;3
PARTENAVIA (Italy);AP-68TP-600 Viator ;VTOR ;2T/S ;1,500 ;1,500 ;II ;8
PARTENAVIA (Italy);P-57 Fachiro 2 ;P57 ;1P/S ;NULL;NULL;I ;NULL
PARTENAVIA (Italy);P-64/66 Oscar, Charlie ;OSCR ;1P/S ;800;1,000 ;I ;2
PARTENAVIA (Italy);P68,Victor, Observer ;P68 ;2P/S ;1,200 ;1,000 ;I ;3
PIAGGIO (Industrie Aeronautiche E Meccaniche Rinaldo Piaggio SpA) (Italy);P-136*** ;P136 ;2P/S ;1,250 ;1,500 ;II ;4
PIAGGIO (Industrie Aeronautiche E Meccaniche Rinaldo Piaggio SpA) (Italy);P-148 ;P148 ;1P/S ;NULL;NULL;I ;NULL
PIAGGIO (Industrie Aeronautiche E Meccaniche Rinaldo Piaggio SpA) (Italy);P-149 ;P149 ;1P/S ;NULL;NULL;I ;NULL
PIAGGIO (Industrie Aeronautiche E Meccaniche Rinaldo Piaggio SpA) (Italy);P-166, P-166A/B/C/DL2/M/S, Portofino, Albatross ;P66P ;2P/S ;1,350 ;1,500 ;II ;3
PIAGGIO (Industrie Aeronautiche E Meccaniche Rinaldo Piaggio SpA) (Italy);P-166DL3/DP1 ;P66T ;2T/S ;NULL;NULL;II ;NULL
PIAGGIO (Industrie Aeronautiche E Meccaniche Rinaldo Piaggio SpA) (Italy);P-180 Avanti ;P180 ;2T/S ;NULL;NULL;II ;1
PIAGGIO (Industrie Aeronautiche E Meccaniche Rinaldo Piaggio SpA) (Italy);PD-808 ;P808 ;2J/S+ ;4,000 ;3,500 ;III ;9
PILATUS FLUGZEUGWERKE AG (Switzerland);P-2 ;PP2 ;1P/S ;NULL;NULL;I ;NULL
PILATUS FLUGZEUGWERKE AG (Switzerland);P-3 ;PP3 ;1P/S ;NULL;NULL;I ;NULL
PILATUS FLUGZEUGWERKE AG (Switzerland);PC-6 Porter ;PC6P ;1P/S ;600;600;I ;NULL
PILATUS FLUGZEUGWERKE AG (Switzerland);PC-6A/B/C Turbo Porter (UV-20 Chiricahua) ;PC6T ;1T/S ;1,250 ;1,500 ;I ;NULL
PILATUS FLUGZEUGWERKE AG (Switzerland);PC-7 Turbo Trainer (AT-92, Astra) ;PC7 ;1T/S ;2,800 ;NULL;I ;1
PILATUS FLUGZEUGWERKE AG (Switzerland);PC-9, Hudurnik ;PC9 ;1T/S ;NULL;NULL;I ;NULL
PILATUS FLUGZEUGWERKE AG (Switzerland);PC-12, Eagle ;PC12 ;1T/S ;1,900 ;NULL;I ;4
PIPER AIRCRAFT CORP. (USA);AP-60, Aerostar ;AEST ;2P/S ;1,500 ;1,500 ;II ;NULL
PIPER AIRCRAFT CORP. (USA);J-2 Cub ;J2 ;1P/S ;500;500;I ;1
PIPER AIRCRAFT CORP. (USA);J-3 Cub (L-4, NE) ;J3 ;1P/S ;500;500;I ;1
PIPER AIRCRAFT CORP. (USA);J-4 Cub Coupe ;J4 ;1P/S ;500;500;I ;1
PIPER AIRCRAFT CORP. (USA);J-5 Cub Cruiser (L-14, AE) ;J5 ;1P/S ;500;500;I ;1
PIPER AIRCRAFT CORP. (USA);PA-11 Cub Special (L-18B) ;PA11 ;1P/S ;500;500;I ;1
PIPER AIRCRAFT CORP. (USA);PA-12 Super Cruiser ;PA12 ;1P/S ;600;600;I ;1
PIPER AIRCRAFT CORP. (USA);PA-14 Family Cruiser ;PA14 ;1P/S ;600;600;I ;1
PIPER AIRCRAFT CORP. (USA);PA-15 Vagabond ;PA15 ;1P/S ;500;500;I ;1
PIPER AIRCRAFT CORP. (USA);PA-16 Clipper ;PA16 ;1P/S ;500;500;I ;1
PIPER AIRCRAFT CORP. (USA);PA-17 Vagabond, Vagabond Trainer ;PA17 ;1P/S ;500;500;I ;1
PIPER AIRCRAFT CORP. (USA);PA-18 Super Cub (L-18C, L-21, U-7) ;PA18 ;1P/S ;1,000 ;1,000 ;I ;1
PIPER AIRCRAFT CORP. (USA);PA-20 Pacer ;PA20 ;1P/S ;850;1,000 ;I ;1
PIPER AIRCRAFT CORP. (USA);PA-22 Tri-Pacer, Caribbean, Colt ;PA22 ;1P/S ;1,000 ;1,000 ;I ;2
PIPER AIRCRAFT CORP. (USA);PA-23-150/160 Apache ;PA23 ;2P/S ;1,050 ;1,000 ;II ;2
PIPER AIRCRAFT CORP. (USA);PA-24 Comanche ;PA24 ;1P/S ;900;1,000 ;I ;4
PIPER AIRCRAFT CORP. (USA);PA-25 Pawnee ;PA25 ;1P/S ;650;650;I ;1
PIPER AIRCRAFT CORP. (USA);PA-23-235/250 Aztec, Turbo Aztec (U-11, E-19, UC-26) ;PA27 ;2P/S ;1,500 ;1,500 ;II ;3
PIPER AIRCRAFT CORP. (USA);PA-28-140/150/151/ 160/161/180/181Archer, Cadet, Cherokee, Cherokee Archer/Challenger/Chief/Cruiser/Flite Liner/Warrior ;P28A ;1P/S ;750;1,000 ;I ;1
PIPER AIRCRAFT CORP. (USA);PA-28-201T/235/236 Cherokee, Cherokee Charger/Pathfinder, Dakota, Turbo Dakota ;P28B ;1P/S ;900;1,000 ;I ;3
PIPER AIRCRAFT CORP. (USA);PA-28R-1802/3, Turbo Arrow 3/200/201 Cherokee Arrow, Arrow ;P28R ;1P/S ;750;1,000 ;I ;3
PIPER AIRCRAFT CORP. (USA);PA-28RT Arrow 4, Turbo Arrow 4 ;P28T ;1P/S ;900;1,000 ;I ;2
PIPER AIRCRAFT CORP. (USA);PA-30/39 Twin Comanche, Twin Comanche CR, Turbo Twin Comanche ;PA30 ;2P/S ;1,500 ;1,500 ;II ;1
PIPER AIRCRAFT CORP. (USA);PA-31/31P Navajo, Navajo Chieftain, Chieftain, Pressurized Navajo, Mohave, T-1020 ;PA31 ;2P/S ;1,500 ;1,500 ;II ;2
PIPER AIRCRAFT CORP. (USA);PA-32 Cherokee Six, Six, Saratoga, Turbo Saratoga, 6, 6XT ;PA32 ;1P/S ;850;1,000 ;I ;3
PIPER AIRCRAFT CORP. (USA);PA-32R Cherokee Lance, Lance, Saratoga SP/2 HP/2TC, Turbo Saratoga SP ;P32R ;1P/S ;850;1,000 ;I ;3
PIPER AIRCRAFT CORP. (USA);PA-32RT Lance 2, Turbo Lance 2 ;P32T ;1P/S ;850;1,000 ;I ;4
PIPER AIRCRAFT CORP. (USA);PA-34 Seneca ;PA34 ;2P/S ;1,300 ;1,300 ;II ;7
PIPER AIRCRAFT CORP. (USA);PA-36 Pawnee Brave ;PA36 ;1P/S ;800;1,000 ;I ;2
PIPER AIRCRAFT CORP. (USA);PA-38 Tomahawk ;PA38 ;1P/S ;750;750;I ;3
PIPER AIRCRAFT CORP. (USA);PA-44, Seminole, Turbo Seminole ;PA44 ;2P/S ;1,100 ;1,000 ;II ;2
PIPER AIRCRAFT CORP. (USA);PA-46 310P/350P Malibu, Malibu Mirage ;PA46 ;1P/S ;1,000 ;1,000 ;I ;4
PIPER AIRCRAFT CORP. (USA);PA-46-500TP Malibu Meridian ;P46T ;1T/S ;1,500 ;1,500 ;I ;4
PIPER AIRCRAFT CORP. (USA);PA-31T3-500 T-1040 ;PAT4 ;1P/S ;1,300 ;1,200 ;I ;NULL
PIPER AIRCRAFT CORP. (USA);PA-31T1-500 Cheyenne 1 ;PAY1 ;2T/S ;2,200 ;2,000 ;II ;5
PIPER AIRCRAFT CORP. (USA);PA-31T-620.T2-620 Cheyenne, Cheyenne 2 ;PAY2 ;2T/S ;2,400 ;2,000 ;II ;2
PIPER AIRCRAFT CORP. (USA);PA-42-720 Cheyenne 3 ;PAY3 ;2T/S ;2,400 ;2,000 ;II ;8
PIPER AIRCRAFT CORP. (USA);PA-42-1000 Cheyenne 400 ;PAY4 ;2T/S ;2,500 ;2,000 ;II ;4
PIPER AIRCRAFT CORP. (USA);PA-28R-300 Pill;PILL;1P/S ;750;1,000 ;I ;NULL
PIPER AIRCRAFT CORP. (USA);108 Voyager, Station Wagon 108 ;S108 ;1P/S ;800;800;I ;2
PITTS AEROBATICS (Manufactured by Christen Industries, Inc.)(USA);S-1 Special ;PTS1 ;1P/S ;1,500 ;1,500 ;I ;NULL
PITTS AEROBATICS (Manufactured by Christen Industries, Inc.)(USA);S-1-11 Super Stinker ;PTSS ;1P/S ;NULL;NULL;I ;NULL
PITTS AEROBATICS (Manufactured by Christen Industries, Inc.)(USA);S-2 Special ;PTS2 ;1P/S ;1,500 ;1,500 ;I ;NULL
PITTS AEROBATICS (Manufactured by Christen Industries, Inc.)(USA);S-12 Macho Stinker, Super Stinker ;PTMS ;1P/S ;NULL;NULL;I ;NULL
ROBIN (France);R-1180 Aiglon ;R100 ;1P/S ;NULL;NULL;I ;NULL
ROBIN (France);R-2100/2112/2120/2160, Alpha, Alpha Sport, Super Club ;R200 ;1P/S ;NULL;NULL;I ;NULL
ROBIN (France);R-300/3000/3100/3120/3140 ;R300 ;1P/S ;NULL;NULL;I ;NULL
ROCKWELL INTERNATIONAL CORP. (USA);100 Commander 100 ;VO10 ;1P/S ;850;850;I ;1
ROCKWELL INTERNATIONAL CORP. (USA);112, 114 Commander 112/114, Alpine Commander, Gran Turismo Commander ;AC11 ;1P/S ;1,000 ;1,200 ;I ;2
ROCKWELL INTERNATIONAL CORP. (USA);200 Commander 200 ;M200 ;1P/S ;1,400 ;1,000 ;I ;1
ROCKWELL INTERNATIONAL CORP. (USA);500 Shrike Commander ;AC50 ;2P/S ;1,340 ;1,500 ;II ;3
ROCKWELL INTERNATIONAL CORP. (USA);Commander 520 ;AC52 ;2P/S ;1,340 ;1,500 ;II ;1
ROCKWELL INTERNATIONAL CORP. (USA);560 Commander 560 ;AC56 ;2P/S ;1,400 ;1,500 ;II ;4
ROCKWELL INTERNATIONAL CORP. (USA);680F, 680FP, Commander 680F/680FP ;AC68 ;2P/S ;1,375 ;1,375 ;II ;5
ROCKWELL INTERNATIONAL CORP. (USA);680FL, Grand Commander, Commander 685 ;AC6L ;2P/S ;1,250 ;1,250 ;II ;6
ROCKWELL INTERNATIONAL CORP. (USA);720 Alti-Cruiser ;AC72 ;2P/S ;1,300 ;1,300 ;II ;4
ROCKWELL INTERNATIONAL CORP. (USA);680T, 680V Turbo Commander ;AC80 ;2T/S ;2,000 ;1,500 ;II ;4
ROCKWELL INTERNATIONAL CORP. (USA);690 Turbo Commander 690, Jetprop Commander 840 ;AC90 ;2T/S ;2,500 ;2,500 ;II ;6
ROCKWELL INTERNATIONAL CORP. (USA);695 Jetprop Commander 980/1000 ;AC95 ;2P/S ;2,500 ;2,500 ;II ;6
ROCKWELL INTERNATIONAL CORP. (USA);700, 710 Commander 700/710 ;RC70 ;2P/S ;NULL;NULL;II ;NULL
ROCKWELL INTERNATIONAL CORP. (USA);AC-130 Spectre ;C130 ;4T/L ;1,500 ;1,500 ;III ;NULL
ROCKWELL INTERNATIONAL CORP. (USA);B-1 Lancer ;B1* ;4J/H ;3,000 ;5,000 ;III ;NULL
ROCKWELL INTERNATIONAL CORP. (USA);FR-06 Fanranger, Ranger 2000 ;R2TH ;1J/S ;NULL;NULL;III ;NULL
ROCKWELL INTERNATIONAL CORP. (USA);Mitchell ;B25 ;2P/L ;980;980;III ;NULL
ROCKWELL INTERNATIONAL CORP. (USA);Sabre ;F86* ;1J/L ;4,000 ;4,000 ;III ;NULL
ROCKWELL INTERNATIONAL CORP. (USA);Jet Commander 1121 ;JCOM ;2J/S+ ;5,000 ;4,500 ;III ;9
ROCKWELL INTERNATIONAL CORP. (USA);Lark 100 Commander ;LARK ;1P/S ;700;1,000 ;I ;1
ROCKWELL INTERNATIONAL CORP. (USA);Navion NA 145/154 ;NAVI ;1P/S ;750;600;I ;2
ROCKWELL INTERNATIONAL CORP. (USA);Mustang ;P51 ;1P/S ;2,500 ;2,500 ;III ;NULL
ROCKWELL INTERNATIONAL CORP. (USA);NA-265 Sabre 40/60/65 ;SBR1 ;2J/S+ ;4,000 ;3,500 ;III ;NULL
ROCKWELL INTERNATIONAL CORP. (USA);NA-265 Sabre 75/80 ;SBR2 ;2J/S+ ;NULL;NULL;III ;NULL
ROCKWELL INTERNATIONAL CORP. (USA);OV-10 Bronco ;V10 ;2T/S ;2,000 ;2,500 ;II ;NULL
ROCKWELL INTERNATIONAL CORP. (USA);S-2 Thrush Commander ;SS2P ;1P/S ;NULL;NULL;I ;NULL
ROCKWELL INTERNATIONAL CORP. (USA);Super Sabre F-100 ;SSAB ;1J/L ;4,000 ;4,000 ;III ;NULL
ROCKWELL INTERNATIONAL CORP. (USA);T-2 Buckeye ;T2* ;2J/L ;5,700 ;6,000 ;III ;NULL
ROCKWELL INTERNATIONAL CORP. (USA);Trojan, Nomair, Nomad ;T28 ;1P/S ;2,500 ;2,500 ;III ;NULL
ROCKWELL INTERNATIONAL CORP. (USA);Texan, Harvard ;T6 ;1P/S ;800;800;I ;2
ROCKWELL INTERNATIONAL CORP. (USA);Darter 100 ;VO10 ;1P/S ;850;850;I ;NULL
ROCKWELL INTERNATIONAL CORP. (USA);X-31 ;X31 ;1J/S+ ;NULL;NULL;III ;NULL
RUSCHMEYER (FRG);R-90-230FG ;R90F ;1P/S ;1,000 ;1,000 ;I ;NULL
RUSCHMEYER (FRG);R-90-230RG, MF-85 ;R90R ;1P/S ;1,000 ;1,000 ;I ;NULL
RUSCHMEYER (FRG);R-90-420AT ;R90T ;1T/S ;1,100 ;1,100 ;I ;NULL
SAAB (Sweden/USA);29 (J29) ;SB29 ;1J/S ;NULL;NULL;III ;NULL
SAAB (Sweden/USA);32 Lansen (J32) ;SB32 ;1J/S+ ;NULL;NULL;III ;NULL
SAAB (Sweden/USA);35 Draken (J35, Sk35, F-35, RF-35, TF-35) ;SB35 ;1J/S+ ;NULL;NULL;III ;NULL
SAAB (Sweden/USA);37 Viggen (AJ37, AJS37, JA37, SP37, SH37, Sk37) ;SB37 ;1J/S+ ;NULL;NULL;III ;NULL
SAAB (Sweden/USA);39 Gripen (JAS39) ;SB39 ;1J/S+ ;NULL;NULL;III ;NULL
SAAB (Sweden/USA);91 Safir (Sk50) ;SB91 ;1J/S ;NULL;NULL;III ;NULL
SAAB (Sweden/USA);105 (Sk60) ;SB05 ;2J/S ;NULL;NULL;III ;NULL
SAAB (Sweden/USA);340;SF34 ;2T/L ;2,000 ;2,000 ;III ;5
SAAB (Sweden/USA);2000;SB20 ;2T/L ;NULL;NULL;III ;NULL
SAAB (Sweden/USA);MFI-15/17 Safari, Supporter (T-17) ;MF17 ;1P/S ;NULL;NULL;I ;NULL
SHORT BROTHERS LTD. (UK);330, Sherpa (C-23), SD3-30 ;SH33 ;2T/S+ ;1,380 ;1,380 ;III ;6
SHORT BROTHERS LTD. (UK);360, SD3-60 ;SH36 ;2T/S+ ;1,400 ;1,400 ;III ;6
SHORT BROTHERS LTD. (UK);SC-5 Belfast ;BELF ;4T/L ;NULL;NULL;III ;NULL
SHORT BROTHERS LTD. (UK);SC7 Skyvan, Skyliner ;SC7 ;2T/S ;1,500 ;1,500 ;II ;2
SILVAIRE (USA);8 Silvaire ;L8 ;1P/S ;900;1,000 ;I ;3
STINSON (USA);10, 105, HW-75, HW-80, Voyager ;S10 ;1P/S ;750;1,000 ;I ;NULL
STINSON (USA);108 Voyager, Station Wagon ;S108 ;1P/S ;750;1,000 ;I ;NULL
STINSON (USA);L-5, U-19, OY Sentinel (V-76) ;L5 ;1P/S ;750;750;I ;NULL
STINSON (USA);SR, V-77 Reliant (AT-19) ;RELI ;1P/S ;700;700;I ;3
TAYLORCRAFT AVIATION CORP. (USA);15 Tourist, Foursome ;TA15 ;1P/S ;800;1,000 ;I ;NULL
TAYLORCRAFT AVIATION CORP. (USA);19, F-19 Sportsman ;TF19 ;1P/S ;800;1,000 ;I ;1
TAYLORCRAFT AVIATION CORP. (USA);20 Ranchwagon, Topper, Seabird, Zephyr 400 ;TA20 ;1P/S ;1,000 ;1,000 ;I ;4
TAYLORCRAFT AVIATION CORP. (USA);A ;TAYA ;1P/S ;NULL;NULL;I ;NULL
TAYLORCRAFT AVIATION CORP. (USA);BC, BF, BL, Ace, Sportsman, Traveller ;TAYB ;1P/S ;NULL;NULL;I ;NULL
TAYLORCRAFT AVIATION CORP. (USA);DC, DCO, DF, DL (O-57, L-2) ;TAYD ;1P/S ;NULL;NULL;I ;NULL
TAYLORCRAFT AVIATION CORP. (USA);F-21 ;TF21 ;1P/S ;1,100 ;1,100 ;I ;4
TAYLORCRAFT AVIATION CORP. (USA);F-22 Classic, Tri-Classic, Ranger, Trooper, Tracker ;TF22 ;1P/S ;875;NULL;I ;NULL
TED SMITH AEROSTAR CORP. (USA);Aero Star ;AEST ;2P/S ;1,800 ;1,500 ;II ;5
VFW-FOKKER (Zentralgesellschaft VFW-Fokker mbH (FRG/Netherlands));VFW 614 ;VF14 ;2J/L ;3,100 ;3,000 ;III ;8
VOUGHT CORP. (USA);A-7, TA-7 Corsair ;A7* ;1J/L ;8,000 ;6,000 ;III ;NULL
VOUGHT CORP. (USA);Swift ;GC1 ;1P/S ;1,000 ;1,000 ;I ;2
YAKOVLEV (RUSSIA);Yak-40 ;YK40 ;3J/S+ ;NULL;NULL;III ;8
ZENAIR (Canada);CH-600/601 Zodiac, Super Zodiac ;CH60 ;1P/S ;NULL;NULL;I ;NULL
ZENAIR (Canada);CH-620 Gemini ;CH62 ;2P/S ;NULL;NULL;II ;NULL
ZENAIR (Canada);CH-801 Stol ;CH80 ;1P/S ;NULL;NULL;I ;NULL
ZENAIR (Canada);CH-2000 Zenith ;CH2T ;1P/S ;780;NULL;I ;NULL
